traffic,cb_v1,cv_v2,cv_v3,retry,interval,start,end
70,50,50,1,2,25ms,1678525472426,1678525532434
70,50,50,1,2,50ms,1678525532695,1678525592698
70,50,50,1,5,1ms,1678525592969,1678525652975
70,50,50,1,5,25ms,1678525653237,1678525713244
70,50,50,1,5,50ms,1678525713501,1678525773509
70,50,50,50,1,1ms,1678525773985,1678525833988
70,50,50,50,1,25ms,1678525834249,1678525894252
70,50,50,50,1,50ms,1678525894515,1678525954518
70,50,50,50,2,1ms,1678525954768,1678526014770
70,50,50,50,2,25ms,1678526015016,1678526075022
70,50,50,50,2,50ms,1678526075268,1678526135276
70,50,50,50,5,1ms,1678526135548,1678526195552
70,50,50,50,5,25ms,1678526195809,1678526255811
70,50,50,50,5,50ms,1678526256075,1678526316087
70,50,50,1000,1,1ms,1678526316593,1678526376602
70,50,50,1000,1,25ms,1678526376868,1678526436876
70,50,50,1000,1,50ms,1678526437143,1678526497149
70,50,50,1000,2,1ms,1678526497402,1678526557402
70,50,50,1000,2,25ms,1678526557670,1678526617669
70,50,50,1000,2,50ms,1678526617931,1678526677939
70,50,50,1000,5,1ms,1678526678207,1678526738210
70,50,50,1000,5,25ms,1678526738497,1678526798497
70,50,50,1000,5,50ms,1678526798777,1678526858786
70,50,1000,1,1,1ms,1678526859519,1678526919523
70,50,1000,1,1,25ms,1678526919765,1678526979773
70,50,1000,1,1,50ms,1678526980049,1678527040048
70,50,1000,1,2,1ms,1678527040304,1678527100303
70,50,1000,1,2,25ms,1678527100549,1678527160554
70,50,1000,1,2,50ms,1678527160813,1678527220819
70,50,1000,1,5,1ms,1678527221075,1678527281084
70,50,1000,1,5,25ms,1678527281346,1678527341352
70,50,1000,1,5,50ms,1678527341605,1678527401614
70,50,1000,50,1,1ms,1678527402111,1678527462119
70,50,1000,50,1,25ms,1678527462377,1678527522408
70,50,1000,50,1,50ms,1678527522665,1678527582674
70,50,1000,50,2,1ms,1678527582930,1678527642931
70,50,1000,50,2,25ms,1678527643174,1678527703174
70,50,1000,50,2,50ms,1678527703423,1678527763426
70,50,1000,50,5,1ms,1678527763676,1678527823682
70,50,1000,50,5,25ms,1678527823919,1678527883923
70,50,1000,50,5,50ms,1678527884186,1678527944192
70,50,1000,1000,1,1ms,1678527944686,1678528004686
70,50,1000,1000,1,25ms,1678528004943,1678528064947
70,50,1000,1000,1,50ms,1678528065199,1678528125198
70,50,1000,1000,2,1ms,1678528125452,1678528185454
70,50,1000,1000,2,25ms,1678528185717,1678528245726
70,50,1000,1000,2,50ms,1678528245985,1678528305988
70,50,1000,1000,5,1ms,1678528306237,1678528366236
70,50,1000,1000,5,25ms,1678528366487,1678528426492
70,50,1000,1000,5,50ms,1678528426758,1678528486768
70,1000,1,1,1,1ms,1678528487760,1678528547764
70,1000,1,1,1,25ms,1678528548022,1678528608022
70,1000,1,1,1,50ms,1678528608300,1678528668303
70,1000,1,1,2,1ms,1678528668573,1678528728570
70,1000,1,1,2,25ms,1678528728820,1678528788825
70,1000,1,1,2,50ms,1678528789065,1678528849064
70,1000,1,1,5,1ms,1678528849324,1678528909326
70,1000,1,1,5,25ms,1678528909575,1678528969579
70,1000,1,1,5,50ms,1678528969852,1678529029852
70,1000,1,50,1,1ms,1678529030347,1678529090348
70,1000,1,50,1,25ms,1678529090597,1678529150606
70,1000,1,50,1,50ms,1678529150861,1678529210860
70,1000,1,50,2,1ms,1678529211125,1678529271127
70,1000,1,50,2,25ms,1678529271383,1678529331392
70,1000,1,50,2,50ms,1678529331654,1678529391662
70,1000,1,50,5,1ms,1678529391927,1678529451933
70,1000,1,50,5,25ms,1678529452188,1678529512192
70,1000,1,50,5,50ms,1678529512456,1678529572463
70,1000,1,1000,1,1ms,1678529572945,1678529632946
70,1000,1,1000,1,25ms,1678529633210,1678529693213
70,1000,1,1000,1,50ms,1678529693477,1678529753484
70,1000,1,1000,2,1ms,1678529753726,1678529813733
70,1000,1,1000,2,25ms,1678529813974,1678529873979
70,1000,1,1000,2,50ms,1678529874246,1678529934256
70,1000,1,1000,5,1ms,1678529934524,1678529994534
70,1000,1,1000,5,25ms,1678529994789,1678530054797
70,1000,1,1000,5,50ms,1678530055056,1678530115063
70,1000,50,1,1,1ms,1678530115765,1678530175769
70,1000,50,1,1,25ms,1678530176014,1678530236015
70,1000,50,1,1,50ms,1678530236276,1678530296284
70,1000,50,1,2,1ms,1678530296547,1678530356548
70,1000,50,1,2,25ms,1678530356822,1678530416825
70,1000,50,1,2,50ms,1678530417093,1678530477101
70,1000,50,1,5,1ms,1678530477361,1678530537361
70,1000,50,1,5,25ms,1678530537626,1678530597635
70,1000,50,1,5,50ms,1678530597894,1678530657895
70,1000,50,50,1,1ms,1678530658387,1678530718388
70,1000,50,50,1,25ms,1678530718648,1678530778657
70,1000,50,50,1,50ms,1678530778907,1678530838907
70,1000,50,50,2,1ms,1678530839150,1678530899156
70,1000,50,50,2,25ms,1678530899442,1678530959448
70,1000,50,50,2,50ms,1678530959713,1678531019722
70,1000,50,50,5,1ms,1678531019976,1678531079984
70,1000,50,50,5,25ms,1678531080246,1678531140245
70,1000,50,50,5,50ms,1678531140499,1678531200504
70,1000,50,1000,1,1ms,1678531200986,1678531260995
70,1000,50,1000,1,25ms,1678531261261,1678531321266
70,1000,50,1000,1,50ms,1678531321514,1678531381515
70,1000,50,1000,2,1ms,1678531381788,1678531441797
70,1000,50,1000,2,25ms,1678531442071,1678531502072
70,1000,50,1000,2,50ms,1678531502330,1678531562333
70,1000,50,1000,5,1ms,1678531562598,1678531622606
70,1000,50,1000,5,25ms,1678531622866,1678531682872
70,1000,50,1000,5,50ms,1678531683132,1678531743140
70,1000,1000,1,1,1ms,1678531743855,1678531803863
70,1000,1000,1,1,25ms,1678531804120,1678531864120
70,1000,1000,1,1,50ms,1678531864383,1678531924387
70,1000,1000,1,2,1ms,1678531924647,1678531984656
70,1000,1000,1,2,25ms,1678531984893,1678532044894
70,1000,1000,1,2,50ms,1678532045140,1678532105141
70,1000,1000,1,5,1ms,1678532105406,1678532165410
70,1000,1000,1,5,25ms,1678532165683,1678532225686
70,1000,1000,1,5,50ms,1678532225955,1678532285958
70,1000,1000,50,1,1ms,1678532286441,1678532346437
70,1000,1000,50,1,25ms,1678532346694,1678532406694
70,1000,1000,50,1,50ms,1678532406954,1678532466953
70,1000,1000,50,2,1ms,1678532467724,1678532527725
70,1000,1000,50,2,25ms,1678532527975,1678532587975
70,1000,1000,50,2,50ms,1678532588224,1678532648226
70,1000,1000,50,5,1ms,1678532648507,1678532708507
70,1000,1000,50,5,25ms,1678532708743,1678532768749
70,1000,1000,50,5,50ms,1678532769619,1678532829626
70,1000,1000,1000,1,1ms,1678532830124,1678532890128
70,1000,1000,1000,1,25ms,1678532890404,1678532950410
70,1000,1000,1000,1,50ms,1678532950660,1678533010659
