traffic,retry_attempt,retry_interval,cb,pc_succ_req,pc_fail_req,pc_cb_req,pc_c_rt,f_succ_req,f_fail_req,f_cb_req,f_c_rt
19,1,0.005,10,126.8,1.2,0.0,0.00496007326007326,21.4,2.2,0,0.05333333333333327
19,1,0.005,10,105.0,2.8,0.0,0.005553571428571377,18.2,2.6,0,0.14124999999999982
19,1,0.005,10,116.4,1.2000000000000002,0.0,0.014640624999999971,17.4,0.6,0,0.04871153846153846
19,1,0.005,10,109.6,2.0,0.0,0.004904930966469428,19.8,2.2,0,0.08055555555555549
19,1,0.005,10,127.8,0.8,0.0,0.004985210084033614,19.4,1.2000000000000002,0,0.0499537037037037
19,1,0.005,10,104.2,1.6,0.0,0.004946924428822495,15.2,1.0,0,0.051874999999999956
19,1,0.005,10,117.8,1.6,0.0,0.004965217391304348,20.0,3.0,0,0.05916666666666674
19,1,0.005,10,108.0,5.2,0.0,0.007711538461538419,15.4,4.6,0,0.09949999999999998
19,1,0.005,10,104.6,2.0,0.0,0.017724999999999897,19.4,1.2,0,0.06874999999999999
19,1,0.005,10,112.4,2.5999999999999996,0.0,0.006187500000000024,17.8,4.2,0,0.07999999999999995
19,1,0.005,10,112.8,2.8,0.0,0.015624999999999927,16.8,1.4,0,0.07249999999999997
19,1,0.005,10,106.4,3.8,0.0,0.006883333333333303,19.6,3.6,0,0.07874999999999999
19,1,0.005,10,128.8,0.6000000000000001,0.0,0.0058888888888889036,18.4,1.2,0,0.05500000000000003
19,1,0.005,10,99.0,2.6,0.0,0.00647619047619047,18.6,2.4,0,0.08749999999999994
19,1,0.005,10,121.4,0.8,0.0,0.006125000000000023,19.2,0.6000000000000001,0,0.048624999999999995
19,1,0.005,10,106.4,1.8,0.0,0.004882470784641068,13.6,1.4,0,0.08333333333333331
19,1,0.005,10,99.2,2.2,0.0,0.004994373401534527,21.4,2.8000000000000003,0,0.054999999999999896
19,1,0.005,10,121.0,3.4000000000000004,0.0,0.007843749999999998,16.8,3.2,0,0.0779545454545454
19,1,0.005,10,113.6,0.6,0.0,0.011249999999999852,20.4,1.2000000000000002,0,0.05449999999999999
19,1,0.005,10,119.0,4.2,0.0,0.004970715474209651,17.0,3.2,0,0.0797916666666666
19,1,0.005,10,91.4,0.0,0.0,0.009735294117647009,13.4,0.4,0,0.04982558139534883
19,1,0.005,20,112.4,3.0,0.0,0.004891492776886035,18.4,4.3999999999999995,0,0.08062500000000003
19,1,0.005,20,132.6,3.2,0.0,0.018541666666666644,19.8,2.0,0,0.04935185185185185
19,1,0.005,20,97.951,3.6,0.0,0.00495672190902072,18.2,3.6,0,0.0593749999999999
19,1,0.005,20,128.064,0.4,0.0,0.006992496623480616,20.4,0.8,0,0.05666666666666653
19,1,0.005,20,107.2,3.0,0.0,0.0048889632107023415,15.2,2.6,0,0.07687499999999996
19,1,0.005,20,118.4,1.2,0.0,0.008977272727272697,19.0,1.2000000000000002,0,0.06999999999999994
19,1,0.005,20,101.0,2.4000000000000004,0.0,0.007512500000000006,15.2,3.6,0,0.08718749999999995
